COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIC_PARISH;NOTES;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP
SCOTLAND;Back, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.27535965;-6.30437285;https://www.google.com/maps/search/?api=1&query=58.27535965,-6.30437285&query_place_id=
SCOTLAND;Barra & Vatersay;CIVIC;44781;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/44781;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;56.950206422203;-7.510642401093;https://www.google.com/maps/search/?api=1&query=56.950206422203,-7.510642401093&query_place_id=
SCOTLAND;Bernera;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.230242000000004;-6.842833171303724;https://www.google.com/maps/search/?api=1&query=58.230242000000004,-6.842833171303724&query_place_id=
SCOTLAND;Bornish & South Uist;CIVIC;44782;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/44782;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;57.232148117420;-7.397550647876;https://www.google.com/maps/search/?api=1&query=57.232148117420,-7.397550647876&query_place_id=
SCOTLAND;Callanish, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.19844955;-6.73162895;https://www.google.com/maps/search/?api=1&query=58.19844955,-6.73162895&query_place_id=
SCOTLAND;Borve;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;57.4539991;-6.2574902;https://www.google.com/maps/search/?api=1&query=57.4539991,-6.2574902&query_place_id=
SCOTLAND;Carinish, North Uist;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;57.52144205;-7.309235428680694;https://www.google.com/maps/search/?api=1&query=57.52144205,-7.309235428680694&query_place_id=
SCOTLAND;Carloway, Isle of Lewis;CIVIC;5961;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/5961;First World War (1914-1918), Second World War - civilians, Second World War (1939-1945), Korean War (1950-1953);58.282125908755;-6.769078120298;https://www.google.com/maps/search/?api=1&query=58.282125908755,-6.769078120298&query_place_id=
SCOTLAND;Clachan na Luib & North Uist;CIVIC;44783;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/44783;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;57.555612562265;-7.329794693303;https://www.google.com/maps/search/?api=1&query=57.555612562265,-7.329794693303&query_place_id=
SCOTLAND;Cross, North Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Eriskay, South Uist;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Gerinish, South Uist;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Griminish & Benbecula;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;57.4436208;-7.338535;https://www.google.com/maps/search/?api=1&query=57.4436208,-7.338535&query_place_id=
SCOTLAND;Kinloch, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Melbost and Branahuie;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.2093066;-6.3226942;https://www.google.com/maps/search/?api=1&query=58.2093066,-6.3226942&query_place_id=
SCOTLAND;Ness, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.48833315;-6.243892867687249;https://www.google.com/maps/search/?api=1&query=58.48833315,-6.243892867687249&query_place_id=
SCOTLAND;North Lochs, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;North Lewis, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;North Lewis, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Pairc (South Lochs), Kershader;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Point, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stornoway, Isle of Lewis;CIVIC;8845;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/8845;First World War (1914-1918), Second World War (1939-1945), Second World War - civilians;58.221715276288;-6.399898920469;https://www.google.com/maps/search/?api=1&query=58.221715276288,-6.399898920469&query_place_id=
SCOTLAND;Tarbert, Isle of Harris;CIVIC;5959;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/5959;First World War (1914-1918), Second World War (1939-1945), Second World War - civilians, First World War - civilians;57.897988143945;-6.802572797162;https://www.google.com/maps/search/?api=1&query=57.897988143945,-6.802572797162&query_place_id=
SCOTLAND;Tarbert, Isle of Harris;CIVIC;8544;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/8544;UNKNOWN;57.897823700000004;-6.799422579510676;https://www.google.com/maps/search/?api=1&query=57.897823700000004,-6.799422579510676&query_place_id=
SCOTLAND;Tolsta, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Tolsta Chaolais, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Uig, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;58.196075;-7.0088802432716095;https://www.google.com/maps/search/?api=1&query=58.196075,-7.0088802432716095&query_place_id=
SCOTLAND;West Side, Isle of Lewis;CIVIC;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Castlebay, Isle of Barra;CHURCH;44780;False;NONE;https://www.iwm.org.uk/memorials/item/memorial/44780;First World War (1914-1918);56.955276279551;-7.484856195460;https://www.google.com/maps/search/?api=1&query=56.955276279551,-7.484856195460&query_place_id=
SCOTLAND;"Stornoway, High Church, Isle of Lewis; ";CHURCH;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;"Stornoway, Martin's Memorial Church, Isle of Lewis;";CHURCH;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;"Stornoway, Western Isles Museum, Isle of Lewis;";SCHOOL;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;"Stornoway, Nicolson Institute, Isle of Lewis;";SCHOOL;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stornoway, RAF Stornoway, Stornoway airport, Isle of Lewis;Regiment & Unit ;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stornoway, Ross Battery, RGA, Isle of Lewis;Regiment & Unit ;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stornoway, Royal Naval Battery Plaque, Isle of Lewis;Regiment & Unit ;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stornoway, Seaforth Highlanders, Great War, Isle of Lewis ;Regiment & Unit ;NOT LISTED;False;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;St Peter's Episcopal Church of Scotland, Stornoway, Isle of Lewis;INDIVIDUAL;NOT LISTED;False;John Alex Macaskill RNR (Signalman lost on HMY Iolaire - 1919;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;St Kilda Church, Isle of St Kilda;OTHER;6047;False;Sunderland ML858 of 302 Ferry Training Unit;https://www.iwm.org.uk/memorials/item/memorial/6047;Second World War (1939-1945);57.811133654448;-8.565067439482;https://www.google.com/maps/search/?api=1&query=57.811133654448,-8.565067439482&query_place_id=
SCOTLAND;St Kilda Church, Isle of St Kilda;OTHER;6047;False;Wellington LA995 of 303 Ferry Training Unit;https://www.iwm.org.uk/memorials/item/memorial/6047;Second World War (1939-1945);57.811133654448;-8.565067439482;https://www.google.com/maps/search/?api=1&query=57.811133654448,-8.565067439482&query_place_id=
SCOTLAND;St Kilda Church, Isle of St Kilda;OTHER;6047;False;LX798 of 304 Ferry Training Unit, RAF Port Ellen;https://www.iwm.org.uk/memorials/item/memorial/6047;Second World War (1939-1945);57.811133654448;-8.565067439482;https://www.google.com/maps/search/?api=1&query=57.811133654448,-8.565067439482&query_place_id=
